review_title,review_description,rating
Highly recommended,"Superb performance and looks premium. The only thing i dont like about this phone is its display. Those who want for gaming its the best in this price range you will get 90fps by default..Camera is great, night photos are very clear even without nightmode..8k video is unbeatable..Edit oct 5th 2021, After updates MIUI lags but that's happen to every android phone after 6 monthREAD MORE",5
Very Good,I received this two days ago. I'm satisfied with the performance of the mobile but extremely disappointed with the behavior of delivery person. Completely unprofessional and annoying. I got this phone with an exchange of my almost new mobile. But from the beginning his intentions was very clear to me. He took almost 30 minutes to check my old mobile He checked screen in my room then went out to check again in sunlight. Tried to pull the screen guard off but failed. I helped him to pull it of...READ MORE,4
Perfect product!,"Awesome!!I have switched from LG G6 to this device. This my first Mi device so I had some kind of uneasiness while purchasing it but offer was too good to resist. First impression: It is very premium device! Solid metal frame with glass back in Lunar silver color looks Stunning...Display: there was to much debate around display of this phone, though amoleds are good for battery and color reproduction, this display is also sharp! It is NOT a cheap lcd...Performance: Daily tasks are butt...READ MORE",5
Simply awesome,"Awesome mobile for PUBG Gaming. I am giving review after 4 month of use.Pros;- Excellent Processor with 90 fps PUBG setting, which gives very smooth PUBG Gaming.- Design & Color is awesome.Looks fabulous.- Camera quality is supub. Much much better than Realme X7 Pro and other phones of same configuration.- HD Display with very smooth operation and realistic colors. I like display quality.- Great Battery backup 7 to 8 hr for PUBG gaming. Cons;- Catch file management is very poor.- As...READ MORE",5
Mind-blowing purchase,Wat a mobile .I bought it with 8gb ram Camera  is really good . . . Battery is also good and usefull for heavy users . . Within in 1 hour ll get full charge . . Very fast with 144 refresh rateREAD MORE,5
Super!,"Its a great performing phone at the given price. The display is a little disappointing but its not very bad. The camera takes crisp shots, the portrait mode is great. The selfies come out really nice and vibrant. The processor does its job to the perfection. No heating issues, the charging is quick and the battery stays after a long day of calls, continuous WiFi and whole lot of things. The phone though is a bit bulky  because of the huge battery it doesn't cause discomfort as such. Overall i...READ MORE",5
Just wow!,Awesome performance great experience smooth game play. Good battery life and value for money.Display is not the best.READ MORE,5
Classy product,"Mi10t has all the features which I was looking for. Amazing Camera, IR blaster, NFC, good battery backup, 5G support , refresh rate upto 144Hz and awesome performance.Also there's no ads in this phone. The only con is Google dialler, I really liked MI stock dialler but lot of new Android phones like Nord, realme are coming with Google dialler only.Also even though the display is not AMOLED but the LCD is super high quality and I love it. Far far better than other phones in this segment.READ MORE",5
Good choice,"Phone is very good. Cons:Front camera is not good even u use gcam.Latest Android 11 update has so many bugs, like app crashing.. and etc. Pros:Good display.144hz is very fast and very smooth. Performance is great.READ MORE",4
Brilliant,Look is classy .. overall good phone but slightly expensive in this range .. best price for 8GB 128 GB should be approx 30k .. however satisfied with the phoneREAD MORE,5
Worth the money,Lot of searches finally  I decided to buy this one. my last mobile was OnePlus 7  with amoled display.presntly I am not regret about this display.I am using this mobile from 2 days .here is what I am feeling 1.camera is too good 2.battery backup also nice I am getting 5 to 6 hrs sot.3. Gaming performance extremely smooth.4.compare to oxygen os miui is heavy skin and lot of options I love this options.After few days I will give full reviewREAD MORE,4
Highly recommended,Flipkart delivery is fast and first time they accepted my exchange mobile without any fuss. Mi10t is good but too much hype around mi10i makes me wonder about my decision. I wish mi10 t had a better display and ui like one plusREAD MORE,5
Value-for-money,"Very good mobile but I'm  disappointed amoled display,but very good display rather than other LED display it's true colour eye protection no eye training display,That charger not like speed I mean 50 or 65 watt.But it's a flagship performance beasting like blazeDon't think agar redmi it's a XIAOMI mobile man#865 5G team.READ MORE",4
Honest experience.,"I've been using this phone for around 20 days now and I think that's quite enough to give my feedback. So Mi 10t is so great when it comes to hardware, say SD865,144HZ (i know its lcd, but I'll talk about it later)display, 5g support, NFC, UFS 3.1, LPDDR5 RAM, 33w charger(it's quite good, takes almost an hour) and the battery life is also great (gives me around 7 hours SOT with 90hz refresh rate and 5 hours with 144 hz). Coming to the software, I personally haven't found any major bugs in t...READ MORE",5
Perfect product!,"Been using this device for 2 days now.Has been checking out the battery drain and backup on this phone.With the display set to 144hz I got 6hrs50min of SOT.Pubg 3hrs50min,YouTube 2hrs,rest web browsing.pubg was played at 90fps.Is the screen on time good by today's standards?Battery conservation at 144hz feels better than with the display set to 90hz.Performance is good with good heat dissipation through backside during extended gaming sessions.READ MORE",5
Awesome,Initial impressions are great!Edit (after a week) : Performance is smooooth. MiUi is really well optimized for this device. Gaming is superb! Display is a top quality LCD panel so no problem with that. I haven't tested the camera much but the pics I took were looking good to me. The in-hand feel is really premium as the frame is of aluminium and the front and back is glass.  Speakers are clear and adequately loud. So overall I've enjoyed this device till now 🤩READ MORE,5
Just wow!,"If you are gonna buy this phone for pubg . It's awesome.It can't give 90fps constant but it can give 60fps constant.For best , game performance,If you want to play pubg at 60fps constant ,first change the adaptive refresh rate to 60hz . It's not mandatory to change the refresh rate to 60hz but you can see the difference, playing the game in (144hz,90hz) and 60hz. However pubg doesn't support 144hz.You will get to see fps drops , when you play the game at (144hz or 90hz) refresh rate but ...READ MORE",5
Really Nice,"Terrific purchase.I have upgraded from one plus 7 to try Xiaomi and choose 10T, and i wont regret the purchase.Pros:1. Operation was buttery smooth with 144hz refresh rate.2. RAM management is considerably ok with MIUI 123. Camera quality is good.4. Battery backup is supergood and charging is pretty fast.Cons: IPS display.NOTE: I like AMOLED screens as they look beautiful in every aspect.However, Xiomi did a great job in providing the best quality display.READ MORE",4
Wonderful,"Great camera. Decent display. Performance was quiet good, there was heating problem. When I play pubg, after three matches the phone temperature increases 50 degree. Oh my god. No laging. Over all it is good. Not best.Battery was great 😊READ MORE",5
Mi 10t is a 5G flagship phone at a great price.,"I was quite confused before buying this phone due to lack of ample reviews and even then most of the reviews are confusing. May be people who are giving negative or 2-star, 3-star reviews, are comparing this phone in their own ways.But must I say this, Mi 10t is a 5G flagship phone at a great price. First of all, you get the flagship processor SD 865 which doesn't need any intro or feedback. It is the fastest processor by Snapdragon till date, apart from SD 888 which is present only in ult...READ MORE",5
Perfect product!,Battery is good. Multitasking with SD865 with 5G support and 8gigs of RAM is sufficient to run any apps at this price range. Should have been Amoled display but still FHD+ display has good viewing angles. Overall a good buy at this price point.READ MORE,5
Perfect product!,"An excellent phone under 30k segment (after exchange), the display is pretty good for an LCD, but the performance is absolutely phenomenonal144hz display along with adaptive sync is smoooth and efficient on battery as wellCamera are pretty good, also has support for gcam mods so you can always extract more from itThe charging is not that fast but it lasts pretty long so I don't really mind, also if I have to charge overnight I charge using a slow 10w charger to preserve battery longetiv...READ MORE",5
Brilliant,"Great phone. Got it for a great price of 25k. With extra 5k off on exhange offer. At this price, this phone is a great steal. And no doubt, this phone has great performance. Also bought it with fixed exchange price of 24.5k for one year. So its a win win for me.READ MORE",5
Brilliant,"Been using it for 10 days now. I have not seen any performance lag. However face detection is a bit slow. But can be dealt with. Awesome camera, decent battery life, excellent charging speed which is wonderful. Feels good in hands. Nice to watch videos, movies, etc. Screen quality at par with Amoled but with a little differenceREAD MORE",5
Best in the market!,"Everything is awesome except display.Amoled is major missing here otherwise phone is very good.Speaker very loud and rich, specially headphone audio quality is very nice if you're a audio lover must buy it.Performance nothing to say Snapdragon nailed it perfectly .Ui very clean Worth buyingREAD MORE",5
