review_title,review_description,rating
Just wow!,"It is an awesome phone if you are looking something with good display good battery backup Just 1 off putting feature, it only supports c-type headphone jack.",5
Mind-blowing purchase,Good phone,5
Simply awesome,Good mobile from Samsung with full satisfied specification thank you samsung,5
Worth every penny,"I bought it for my wife , not for gaming but normal use ,it's working perfectly.Speed is good ,screen size is good , battery back up is good.Overall just used for 1 week , not bad at all.",5
Just wow!,Good Very nice 👍,5
Just wow!,Worth the cost.,5
Awesome,"Really good, best of price",5
Mind-blowing purchase,Brilliant camera,5
Super!,Tooo good mobile Best cameraBest batteryBest work,5
Very Good,Good Product,4
Value-for-money,Super,4
Nice,OK super....,3
Unsatisfactory,Poor quality,1
Useless product,It is a very bad mobile. Waste of money.,1
Just wow!,"It is an awesome phone if you are looking something with good display good battery backup Just 1 off putting feature, it only supports c-type headphone jack.",5
Mind-blowing purchase,Good phone,5
Simply awesome,Good mobile from Samsung with full satisfied specification thank you samsung,5
Worth every penny,"I bought it for my wife , not for gaming but normal use ,it's working perfectly.Speed is good ,screen size is good , battery back up is good.Overall just used for 1 week , not bad at all.",5
Just wow!,Good Very nice 👍,5
Just wow!,Worth the cost.,5
Awesome,"Really good, best of price",5
Mind-blowing purchase,Brilliant camera,5
Super!,Tooo good mobile Best cameraBest batteryBest work,5
Very Good,Good Product,4
Value-for-money,Super,4
Nice,OK super....,3
Unsatisfactory,Poor quality,1
Useless product,It is a very bad mobile. Waste of money.,1
Just wow!,Worth the cost.,5
Awesome,"Really good, best of price",5
Mind-blowing purchase,Brilliant camera,5
Super!,Tooo good mobile Best cameraBest batteryBest work,5
Just wow!,"It is an awesome phone if you are looking something with good display good battery backup Just 1 off putting feature, it only supports c-type headphone jack.",5
Mind-blowing purchase,Good phone,5
Simply awesome,Good mobile from Samsung with full satisfied specification thank you samsung,5
Worth every penny,"I bought it for my wife , not for gaming but normal use ,it's working perfectly.Speed is good ,screen size is good , battery back up is good.Overall just used for 1 week , not bad at all.",5
Just wow!,Good Very nice 👍,5
Just wow!,Worth the cost.,5
Awesome,"Really good, best of price",5
Mind-blowing purchase,Brilliant camera,5
Super!,Tooo good mobile Best cameraBest batteryBest work,5
Very Good,Good Product,4
Value-for-money,Super,4
Nice,OK super....,3
Unsatisfactory,Poor quality,1
Useless product,It is a very bad mobile. Waste of money.,1
Just wow!,Worth the cost.,5
Awesome,"Really good, best of price",5
Mind-blowing purchase,Brilliant camera,5
Super!,Tooo good mobile Best cameraBest batteryBest work,5
Nice,OK super....,3
Just wow!,"It is an awesome phone if you are looking something with good display good battery backup Just 1 off putting feature, it only supports c-type headphone jack.",5
Very Good,Good Product,4
Mind-blowing purchase,Good phone,5
Unsatisfactory,Poor quality,1
Simply awesome,Good mobile from Samsung with full satisfied specification thank you samsung,5
Useless product,It is a very bad mobile. Waste of money.,1
Worth every penny,"I bought it for my wife , not for gaming but normal use ,it's working perfectly.Speed is good ,screen size is good , battery back up is good.Overall just used for 1 week , not bad at all.",5
Just wow!,Good Very nice 👍,5
Just wow!,Worth the cost.,5
Value-for-money,Super,4
Awesome,"Really good, best of price",5
Mind-blowing purchase,Brilliant camera,5
Super!,Tooo good mobile Best cameraBest batteryBest work,5
Just wow!,"It is an awesome phone if you are looking something with good display good battery backup Just 1 off putting feature, it only supports c-type headphone jack.",5
Mind-blowing purchase,Good phone,5
Simply awesome,Good mobile from Samsung with full satisfied specification thank you samsung,5
Worth every penny,"I bought it for my wife , not for gaming but normal use ,it's working perfectly.Speed is good ,screen size is good , battery back up is good.Overall just used for 1 week , not bad at all.",5
Just wow!,Good Very nice 👍,5
Just wow!,Worth the cost.,5
Awesome,"Really good, best of price",5
Mind-blowing purchase,Brilliant camera,5
Super!,Tooo good mobile Best cameraBest batteryBest work,5
Very Good,Good Product,4
Value-for-money,Super,4
Nice,OK super....,3
Unsatisfactory,Poor quality,1
Useless product,It is a very bad mobile. Waste of money.,1
Just wow!,Worth the cost.,5
Awesome,"Really good, best of price",5
Mind-blowing purchase,Brilliant camera,5
Super!,Tooo good mobile Best cameraBest batteryBest work,5
Nice,OK super....,3
Just wow!,"It is an awesome phone if you are looking something with good display good battery backup Just 1 off putting feature, it only supports c-type headphone jack.",5
Very Good,Good Product,4
Mind-blowing purchase,Good phone,5
Unsatisfactory,Poor quality,1
Simply awesome,Good mobile from Samsung with full satisfied specification thank you samsung,5
Useless product,It is a very bad mobile. Waste of money.,1
Worth every penny,"I bought it for my wife , not for gaming but normal use ,it's working perfectly.Speed is good ,screen size is good , battery back up is good.Overall just used for 1 week , not bad at all.",5
Just wow!,Good Very nice 👍,5
Just wow!,Worth the cost.,5
Value-for-money,Super,4
Awesome,"Really good, best of price",5
Mind-blowing purchase,Brilliant camera,5
Super!,Tooo good mobile Best cameraBest batteryBest work,5
Nice,OK super....,3
Awesome,"Really good, best of price",5
Simply awesome,Good mobile from Samsung with full satisfied specification thank you samsung,5
Very Good,Good Product,4
