review_title,review_description,rating
Fabulous!,Excellent 👌👌. Excellent in this price range 🤩 Superb mobile and the display is just awesome or touch response is excellent. Battery consumption is very good as per mobile specification,5
Terrific,Awesome 👌🆒️ mobile.. Ty so much flipkart for such lovely review,5
Nice product,Nice,4
Delightful,Love it😊👍🏽,4
Super!,happy about a product,5
Wonderful,"Touch awsm 10 out of 5 🥳Camera 4 out of 5Finger print sensor 5 out 5Speed 4 out of 5Overall best phone in this price range....N last gudwill is enough...""samsung""",5
Very Good,Good mobile,4
Wonderful,Very nice.... 🥰,5
Does the job,Average features.. Camera is not good as per compare to other company with price budget,3
Super!,Good,5
Wonderful,Amazing...,5
Worth the money,I have use 20 days after feedbackFront camera 10/7 day timeFront cam 10/3 night timeBack camera 10/8 all timeBettery 10/10Display 10/10Overall 10/9Value for money 10/6Suggest best other brand this price high quailty phone,4
Moderate,Not good,2
Classy product,Good for all,5
Terrible product,Worst experience facing.. Display is not good and internet connectivity problem....,1
Good quality product,Very nice product,4
Very Good,Value for money. Fast Delivery. 24 hours May delivery done. Thanks flipkart team.,4
Highly recommended,Nice phone,5
Pretty good,Good,4
Waste of money!,Worest,1
Waste of money!,Fully tower problem worst mobile,1
Does the job,Mobile is very good but parsal paking very bad for,3
Does the job,"Selfie Camera not satisfied, overall mobile is good.",3
Terrific purchase,Nice phone.Thanks flipkart team.,5
Don't waste your money,Product is not Supporting 4g also seriously very much disappointed not expected from such respectable company also Flipkart is taking too much time to resolve this same issue very bad experience,1
Brilliant,Superb,5
Good quality product,Good,4
Terrific,Satisfied,5
Wonderful,nice,5
Brilliant,Good,5
Value-for-money,Good product,4
Nice product,The price might be lesser than what is at present. The rear camera quality may more better than what it is.,4
Worth every penny,Good,5
Best in the market!,Very nice mobile... Handy light weight mobile,5
Delightful,Very Good experince with this hand set. Only one thing not I liked battery performance. Even simple usages it's down in a day.,4
Classy product,Excellent Phone at the price and good photos,5
Brilliant,Good best phone,5
Good quality product,Only one sim 5G better to spend 1 or 2k more for dual 5G sim,4
Terrific purchase,Nice phone And Price High other mobile,5
Perfect product!,Good BATTERY backup... camera & Displays also too good.  Best value for money...,5
Nice,Average,3
Simply awesome,Good product,5
Delightful,Like a good 👍,4
