review_title,review_description,rating
Super!,Great camera for pics and videos Battery life is good so far with some setting turn of which i never use and when i use i turn those on and i use it in power saving mode all the time so a full day with light gaming of 1hr or more using camera for 1hr or more listening music in my car on youtube and Bluetooth on for couple of hours it gives me full day of battery varing from 4/5 to 6/7 hours sot per dayPerformance is top notch plays every game and every task with easeVery premium phone look...,5
Classy product,One of Best phone in 2020..Excellent Camera and Performance..battery also good without Games..Thanks u Flipkart Best offer and fastest delivery .,5
Must buy!,Great device. Let me tell the Pros..1. Superb build quality 2. Great display. 3. Camera is great in good lighting conditions 4. Processing is great. 5. Sound is superb. 6. Call quality is great. 7. Red colour looks superb.8. Portrait mode photography is Superb.,5
Great product,"Who all loves older size i.e., 4.7 inch type should definitely go for this.  Nothing is better than XR, XS or 11. Best for price and usage.",5
Simply awesome,"This iPhone SE is the best phone ever you get. Beautifully designed gives a classy look in your palms. Moreover, performance wise it is a benchmark. You will not be disappointed in this budget. My purchase point was its size. If you are looking for the same you won’t be disappointed. I strongly recommend this phone to people who is more work oriented. Game loves should skip this phone as this is not a game phone. Best features with stunning looks & performance. Battery life is very good...",5
Classy product,This is my second iphone after iphone 4s. I’ve been a long time android user in between. I’ll tell you who this phone is for. Prospective buyers can then decide1. For photo and video enthusiasts. Very reliable camera. Fast and excellent picture quality. Videos are absolutely stable and professional quality. You would be amazed how many people shoot Youtube videos on an iPhone. The only downside is that the display doesn’t do justice to the photos and videos you have taken. Night photos are ...,5
Brilliant,"People talk about it’s battery backup?? man I’m in love with this handset. So clean, so smooth. Smoother than xr if you’ve used both you’ll understand. Camera better than xr. Battery of xr is better but still I’ll vote for se because of A13 Bionic chip, touch haptics and many more reasons. Its a beast in this segment. Still I want you all to feel this beast in your hand. Sexy as it looks, just a perfect masterpiece.",5
Best in the market!,"One word.. beautiful iphone ❤️ premium feelJust go for it without any doubt. Superb camera, handy, white color is soo good. This phone is for someone who don't like big screen phones.",5
Highly recommended,best compact phone i ever have.It has pretty good camera and performance.I have iphone 11pro but now i fall in love with this phone.Best phone👍👍.Go for it if u love small size phone👍👍👍,5
Just wow!,"iPhone SE 2020 Looks premium😍 Battery:-Most of the people think it’s only 1800 mAh battery???? Is it sufficient??🧐After 8 days of usage ..! in 100%chargeI have played lots of game especially pubg3Hrs of pubg with fully charge6Hrs of Heavy usages also played 1Hrs of pubg14Hrs with normal usage like .,movie,what app,Fb,Instagram and Twitter and callCharging time:- takes more than 2.5hrs with box charger and with 12w 1.50Hrs Performance:- Same like iPhone 11,11pro,11pro max (A13bionic...",5
