review_title,review_description,rating
Worth every penny,I've purchased just before lock down and thankful to flipkart for delivering it in time. Purchased this phone in offer @Rs. 30.5k and at this price it as a great value for money device. Not opted for 5g variant as in India its too early to purchase a 5G phone. In my opnion till the 5g network will be available all over india  this device will fulfil all my requirements. At that time 5g phones will become cheaper and will be easier to shift to 5g. Using this phone for two months. This is how i...,5
Brilliant,Nice mobile Pros:1) Performance beast2)Nice speakers3) Good camera4) Awesome display5) Nice looks 6) headphone jack with headphone included in box7) Excellent battery back up with quick chargeCons:1) 60hz refresh rate2) single speaker,5
Super!,"Just tried the camera as i like to click a lot of images, clarity that this monster carries is best in the segment with 20X zoom and 48MP sensor. The battery life is great, since i am always on the go its a plus for me, it gives me a backup of at least 1-2 days, not to forget that it only takes 40 Mins to fully charge. Its an absolute delight to use the clean UI which is a refresh from the mundane stock android, coupled with super fast SD 865. I would recommend this to everyone who want to bu...",5
Awesome,"Got a massive discount when I purchased this phone. This monster at this price is a best deal you'll get. Latest Processor - SD 865, super fast UI and amazing battery life with 55W fast charge. And with the monster buttons, playing PUBG got easier even for a noob like me. Have been binge watching Netflix for a couple of days on the 6.4' sAMOLED and the phone hasn’t heated a bit. Don’t give it a second thought, just buy it before the offer ends!!",5
Mind-blowing purchase,"I have been using this straight for a more than a day and it still has 27% battery left, thanks to the great 4440 mAh battery and 55W fast charge,  I don’t have to carry a power bank anymore. The UI is seamless and the SD 865 processor makes it super smooth to switch between apps, play PUBG and Asphalt.",5
Just wow!,"Love the camera, the 48MP and 20X zoom works like a charm, great for selfies and portrait shots. Switching to different apps is seamless, thanks to the SD 865 and smooth UI. With all the multitasking, the 4440 mAH battery supports it and just fully charges in 35-40 mins with the 55W fast charging. Definitely a fresh perspective to the smartphone range with the arrival of this monster and i would recommend this to the ones looking to buy the OnePlus 7T .",5
Great product,This phone is performance beast and best in this price rangePros:1) Processer is blazzing fast.You can run any game at almost its highest settings2)LPDDR5 RAM and UFS 3.1 storage3)Battery is also good with super fast 55watt charging4)Camera is somewhat near to 64MP with samsung sensors.Doesn't feel like 48 MP(excellent)5)Display is awesome with good colour reproduction6)It comes with 3.5mm jack which is quite good after seeing scenario of other phones like it (earphones included in box...,5
Great product,"After One week of extreme usage I have to say this phone is the beast for gamers and in detailCamera : The images captured from rear camera have more details and well saturated.. The 48mp primary camera helps you take crystal clear images, Ultra wide and macro both does the decent job tooBattery : I thought it would give a pretty decent battery life and that 55W charger I thought it would be good... But it surprised me very much...I play a lot of Pubg in HDR extreme settings and I do get 5...",5
Classy product,An awesome smartphone by Iqoo (it's a vivo's parent company... Don't get tensed)I booked the phone during lockdown and came within 6 to 7 days.... Booked on may 13th nd came on may 19th.. very fast deliveryComing to The Phone review...It's a beast in performance. Gives a better camera performance as well as the battery backup. It is too good... The monster touch buttons are pretty gud.. it helps u a lot in gaming... Especially in pubg....Coming to the charging... The phone gets charged 0 ...,5
Mind-blowing purchase,"After so many thoughts , I finally came to conclusion and went for this beast ( I don't mind using 60hz phone).I have been using this phone since last five days ( Remember that opinion is subjective )-1. Display : FHD+  and Super Amoled screen with 180 hz touch sampling rate. The one and only downside is to have 60hz refresh rate at this price segment but it  is fine with me.So display is 10/102. Camera: At rear side quad camera setup.Primary lens - 48 mp sony imx 582 sensor which is old...",5
Awesome,"Writing a review after 1 week of using the phone.First of all never apply exchange product on Flipkart, it's just a scam. The delivery boy refused to take my new phone, stating it has cracks and it was on tempered glass which I removed and showed also and it was completely new.The Silver color is much amazing than the black one.The camera is also good but the front camera is not that great.The performance of the phone is just a beast.Playing Pubg on hd with extreme graphics with no ...",5
