review_title,review_description,rating
Best in the market!,Product is very nice  colour is good and I like this phone and value for money etc......,5
Great product,"I guess at this price range this is the best budget phone..we can have without any trouble.This phone is best if you are non gamer and use your phone just for movies,YouTube video's etc.Good as well for operating social network apps.CameraGood photos with an average HDR.Photos are quite brightEven the front camera is more clear BatteryI feel the best part of this phone is the battery,it's long lasting and gives the best performance.This battery is also 4500-5000 mah range so...it w...",5
Terrific purchase,Awsome product and satisfied with flipkart's fast delivery best camera and battery and performance is excellent  Must buy really value for money,5
Awesome,"It's similar to realme 3(yeah I know it's the sub brand of oppo) by the looks but, realme 3 has far more superior camera and processor when compared to this model, looks and design wise both are similar. Writing this review after a weekPros:* Supports portable Hotspot for both bands bands 2.5 ghz and 5ghz* Good battery life lasts for 1.5 days for normal usage(like WhatsApp, instagram)* Brought the blue color variant, it's stunning when compared to the black color variant* Has support fo...",5
Awesome,"Best budget phone in this range. It's diamond cut design is awesome 👌 looking gorgeous and very slim. No doubt, just go for it...👍",5
Mind-blowing purchase,I purchased this phone for my elder sister and she is happy with that.. Battery backup is good and nice display,5
Simply awesome,"I unboxed this phone 4 hours ago. In my 1st impression the phone was nice. Lokking very nice also camera is good, smooth touch. I can't right more at this time. I will edit my review again after using it for 1 week.",5
Wonderful,So beautiful nice and good good mobile 💗💗💗💗 love you Flipkart,5
Best in the market!,"I just said the value of your account credit 😜😍🥰, I have gifted to my father and he very happy as well as my daughter  😃.  Finally I just wanted to say to Flipkart thank you so much and ( my family) we love you❤️",5
Classy product,Camera quality is good battery backup is good gameplay is nice 🙂 sound quality best,5
Mind-blowing purchase,Perfect budget phone for normal use with good display and battery,5
Worth every penny,Useful product at this price point 👌👌p,5
Must buy!,Nice phone,5
Terrific purchase,Nyc camera & also battery.,5
Fabulous!,Nice phone,5
Best in the market!,Good phone,5
Awesome,Good phone best in segment value of money must buy,5
Mind-blowing purchase,"A perfect gift for your parents. A complete package phone. Lacks performance, not good for young generation.",5
Terrific purchase,Owsum😍,5
Super!,Superb camera 👌👌 nice pic,5
Brilliant,Nice product,5
Great product,Something is good,5
Best in the market!,Very nice,5
Mind-blowing purchase,Very nice,5
Simply awesome,It was a amazing phone and thanks to Flipkart to give fast delivery in this price segment it was so good Thanks oppo,5
Super!,Phone is very good but front camera is not goodValue for money,5
Super!,Nice mobile,5
Simply awesome,Nice phone... performance is good....all cameras very bad......  Battery good... blue varient looking awsome...but same price segment more phone comes lot of specifications... I am taking this phone in lockdown time.... That time no more phones in flipkart,5
Super!,Nice looking,5
Perfect product!,Superb performance value of money,5
Simply awesome,Nice phone is a best quality,5
Wonderful,Nice phone,5
Excellent,Awasome Phone in this price range..,5
Classy product,Nice ......,5
Mind-blowing purchase,Nice product,5
Best in the market!,Better quality phone in this price range.,5
Mind-blowing purchase,Phone is good. It is as big as a small scale. I have bought a black one and it charges up very fast. It also gives a phone cover along with a charger so separately no need to buy anything.,5
Awesome,Free fire is smoot play this phoneNo page in phone,5
Must buy!,Super good,5
Classy product,Very nice,5
Worth every penny,Nice product but the seller has changed the price of product next day very disappointed by that.,5
Terrific purchase,It's Cameron is so goodI love it,5
Awesome,"Very nice phone , no any problem .. Camera and battery are too good and also display and performance and sound quality is also too good.... Totally superb phone...This is my two pic with bluer and without bluer....",5
Best in the market!,Very good product..Thnk u flcrt😊😊,5
Awesome,Go for it,5
Classy product,Nice phone.,5
Fabulous!,Osm product thank you Flipkart for fast delivery 😎😎,5
Wonderful,Thank you Flipkart..,5
Wonderful,I brought it as a gift for my mom. I found it good simple and value for money is also good. It's worth to buy.,5
Great product,Nyc product I choose and thanks flipkart for fast service..,5
Best in the market!,Product is very nice  colour is good and I like this phone and value for money etc......,5
