review_title,review_description,rating
Wonderful,Good phone battery🔋 And camera This price point good phone 🟡 color is so cool😁😁😁 I will get fast sale thank you flipkart,5
Terrific,"One word review "" Value for Money""It has the potential to be a nice casual daily driverSpeakers are loud...like seriously loud.Screen size is goodThough being a LCD screen it produces decent colours. For the price at which it comes that more than enough.Camera is neither the best nor the worst, it's quite good for this price point.6000 mA battery 🔋👍🏻Though it comes with a lot of bloatware but you can just uninstall most of them (excluding system apps)Finally the Verdict is that it'...",5
Simply awesome,"Mobile is good... I bought the yellow one... Front and rear cameras are good too... But the con is pics aren't tht clear when we zoom in a lot...the picture quality is too good for short range pics as you can see... The first one or the buildings one is taken with max zoom... No heating issues with battery or while charging.... I use it for browsing, listening songs, to read books texting and calling... So on a single charge I can use it for two days... With apporx 18hrs of usage of above act...",5
Mind-blowing purchase,Thank You Poco for manufacturing this Phone... Iam totally satisfied with the product keeping in mind the price of the phone...I think at this price segment it's the best choice .....Impressed by the build quality.Portrait mode works absolutely fine.. And a special thanks to flipkart team for delivering this in less than 24 hours...,5
Awesome,"I am writing this review after using this mobile phone for 2 days . First of all,  I would like to thanks POCO for manufacturing this wonderful phone. Look : The design of the phone is quite attractive with a different back camera panel having a logo ""poco"" of the company. Body colour texture is excellent. It looks quite premium product. With a plastic back cover, there will be no fingerprint stick with your phone. Although, due to high capacity battery, you may feel little bit heavy on you...",5
Best in the market!,"1) Delivery on time, Properly packed with bill copy2) In the box POCO has Mobile (Tempered glass pre installed), Charger, Transparent case cover and Manual.3) Out of the box, visually the phone looks appealing. Rear camera placement and design choice looks good on the phone. 4a) To touch and feel, the rear of the phone feels more like plastic but at the same time it also feels rigid and non slippery cause of the design texture the material offers. 4b) For a big battery it carries, it ...",5
Best in the market!,"Best phone in this price... Awesome camera,performance,display.... Camera work best in 48 mp .....",5
Classy product,This product was absolutely good and it is very smooth and very useful battery very good camera and very used sensor this phone I guess you wearing this 3 phone and enjoy this life and a party time have a fun day,5
Highly recommended,Everything is better of the phone except of front camera Front camera is not as expected and photos are looks like normal cameras Apart from this battery is superrrbbbLook it hot Performance is good Rear camera is great Speaker :- Works both of the speaker while playing any sound and sound is awesomeScreen visibility is also great,5
Best in the market!,Excellent Phone total value for money camera is good display is excellent and battery is too good. Loved it....,5
Classy product,This phone is excellent and it's camera is also excellent and battery backup is good according to its price it is awesome I am very happy to purchase this phone😍😍😍,5
Excellent,"Today I have got this phone, this is very good phone in this Price. After use this phone, only front camera is little bit down and other than I'm very happy😊 thank you flipkart for faster delivery.",5
Worth every penny,Good Phone battery And camera This price price point good Phone color is so cool 😁😁😁😁😁I will get fast sale thank you Flipkart 🥰🥰,5
Wonderful,"I received my Poco M3 today (delivered by Ekart in 2 days). These are my first impressions.Design and build: Fits well in hand and it's side mounted finger print scanners ls also placed in an optimal location. A simple plastic back with curved edges. Feels little heavy.Display: Looks stunning with great colours and balanced and adaptive brightness. It's Full HD+ display is Ideal for watching videos. 60Hz refresh rate is good considering the budget but as I shifted from high end one plus, ...",5
Classy product,"This is my geniune review with POCO M3.Basically I am a one plus 8 User and purchased M3 Just for its design. I have purchased 2 varients of yellow color with 6gb 64gb.first of all I would say stay away from the negitive reviews.My honest review is, If you are looking for a great phone under 10-11k, definitely go for M3 6gb 64gb.As mentioned earlier, i have purchased 2 phones, I have not faced any lag, heat issue, battery issue and nothing.Display is really good in this price segment....",5
Fabulous!,"Good product. Best product under this value of cost. Heating is the only issue found when charging and usage while playing games. Otherwise nice product. Battery backup remarkable, 1 day for heavy using and 1³/4 nearly 2 days for moderate using. Camera is some what deserving. I'm using this for one month. You can also prefer Poco M3 if u are satisfied with my knowledge of choice.",5
Perfect product!,Iam using this phone is 1week then i write a review.Thank you so much flipkart. This phone is use very nice and cemara is also good and Battery power is goodPerformance is good overall good phone,5
Fabulous!,Poco m3 mobile products are good  i am happy Camara quality is good and battry  performance exillent Sound quality very good,5
Excellent,"Hi friends,,,this is really very nice mobile in this price segment,,, using after 1 week i wrote this review i like very much,,,,before I buy checked reviews some guy say it's average mobile ,,,but it's really nice ,,,battery is super 1 full day easily come,,,mobile performance speed also very good,,,,nice display,,,,but the camera is average also not bad,,,,so I really said ,,,guys thinking in this price range surely go for it ,,,,thanks flipkart",5
Excellent,"All things are good, very affordable price in 6GB RAM -128 STORAGE, My Son Happy with it, all game run in mobile .longer battery, and very fast response to open application -worth it- only camera performance average.",5
Must buy!,I am purchase this phone before 15 day's. Camara is goodBattery is powerfulPerformance also goodAll the things is good not bestBut in this prize range it is best phone👍👍👍👍,5
Highly recommended,"Great Phone at this Price point. Superb cool Design.. Good battery, display and overall performance is superb..Back camera good...Front Camera is average.",5
Mind-blowing purchase,U will never get this specs for this price...decent buy..Positives:1) Performance is very good...u can play pubg with low graphics neatly..6gb ram helps mob to never slowdown...5 star for performance for this price2)decent battery backup..6000mah battery makes u charge only once a day..3)decent design... although plastic body poco makes it to look attractive4)sterio speakers makes sound lound and u will experience different listening although upper speaker little bit lower than down one....,5
Must buy!,Nice phone I have buy in my life. IT is a super phone. I had watched  some reviews on Flipkart they are saying selfie camera is very poor but my Poco m3 has a funtastic selfie and back camera.In this price range it is a super phone.I am using it for 10 days and I am saying this review.Its performance is super,5
Great product,"Excellent mobile at 11k with 6GB ram, 128 memory.Full HD display , smooth touch responseExcellent sound qualityLong battery back upNo lagging issue, smooth performance.Camera not upto the mark , rest all are good and well.",5
Wonderful,"Very nice phone and the most best thing is that it is the best phone under 12000 whoever reads my coments, I suggests you to buy this phone by eyed closed. You cannot find such a good phone under 12k. Thanks.",5
Worth every penny,One of the best Smart Phone at this rate. I grabbed the best deal at this price.,5
Best in the market!,"Well,this is a good budget smartphone in 10k. 1.The camera is awesome 2.The battery life is so good 3.The performance is nice4. The phone heats up little up when playing high ram consuming games like gangster Vegas but I love the game boost feature it instantly cleans up the phone when playing the game 5.Finally it is a very good phone to buy at 10k",5
