review_title,review_description,rating
Terrific purchase,"Nice mobile  , awesome on screen finger print. Nice features nice look. New guesture features , new screenshot features.",5
Brilliant,"I bought it for my mom, as it looked slim and handy with nice display and having better battery backup. To my surprise, the phone looked so stylish and the display is perk as expected. The built quality is found to be better than any other android phone in this segment. Great package from Realme and quick delivery by Flipkart made this order a happier one.",5
Highly recommended,One of the best phone recommend product I am writing this review after one month must buy thank you Flipkart for on-time delivery thank you so much the product is best in this price ❤️❤️❤️,5
Brilliant,Nice quality.I personally like realme brand mobiles.Also it's OS is my favourite.Camera quality is decent and I get the expected performance..I am happy with this product......🥰😍😍🤩,5
Excellent,Got my phone today. Really fast delivery from flipkart.The camera is excellent and the amoled screen with in display fingerprint is a plus point. Smooth function while operating various functions.Gaming performance is gr8.battery backup is great with 30w fast chargeOverall a great phone in this price range,5
Excellent,Best phone in this Range... Excellent for all porpas uses... The best highlight of this smartphone is the camrea 🔥🔥🔥 it took best pictures.,5
Just wow!,"Good phone vallow for money  i  am so exaeted realme 8  date 25/ 03 /2021 pubg is tha best parformenc  , ultra suported , display finger print , selfi photo is tha best , wate 177 gram, 4,64 ,gb , entarnal storej 128, siber silver  colour ,",5
Best in the market!,"Realme 8 is a best option in this price segment And this is an upgrade for realme 6 and 7 users And a problem is  I'm not satisfied with the battery backup it's just one day with a normal that's so irritating me And the display was just amazing in the segment And performance  is also good not any laging or any heating we compare to realme 7 this is the best option and we compared to other phones in this segment like redmi not 10,10pro this is note a best option because this has no sterio spea...",5
Must buy!,A great phone.The battery drain a little faster but I think it resolve with a few updates.Display is good but if it had 90hz fast refresh rate it would be good.In display fingerprint is quite fast.Faster than realme 8 pro!!Performance is top notch.I have the 4gb version and I played call of duty at the highest settings and I haven't seen any frame drops.Camera is good but the camera was better in realme 7.I haven't seen the Tilt Shift mode yet but we will get it with updates.Charging is fast....,5
Great product,I got my product on 31st of March before delivery date ..... It's very nice and worthy mobile .... Loved it's back camera more than front camera also it's a new model and have new look which makes it more attractive and main thing about this mobile phone I liked very much is that it's so slim and light in weight.... ❤️,5
Fabulous!,"Writing this review after 20 days of usage so here are some features which I found really good in this device is a good quality amoled display sporting under display fingerprint scanner, it gives around 1 day battery backup after full charge..not to forget it has 30watt dart charging technology which charges the Device very quickly. They provided 128gb storage as default which is quite enough for an average user now coming to the short comings I found camera's performance quite average. shoot...",5
Classy product,Fantastic Purchase at this price pointMy second Realme Device.Better than Note 10Go for it 👍Pros :• Display is Awesome•Better Battery (5000 Mah)•In-display Fingerprint Sensor•64 Mp Camera•Good Futuristic Design (Except that Dare to Leap😜 personally I don't like it)Cons :•Missing Higher Refresh rate when compared to the competitors at this price point.•Dare to Leap logo (My personal opinion)* This is the second day of using the Device I will edit my review after heavy usage soo...,5
Wonderful,This is the 1 week later review I love this device overall the device is too good camera performance but the always on display is blinking I don't know why but I think this is the new Device upcoming updates is fix the bugges overall I am happy with this thank you Flipkart,5
Highly recommended,Very good very nice looking .. very good phone..I love it 🥰🥰🥰 it,5
Terrific purchase,Good camera quality and battery backup is awesome display quality is very clean better choice of other realme smartphones.,5
Classy product,super phone Best camera Best processor Best displayBest designFast charging Loved it Thanks for flipkart for the best phone This is my 7 phone the best phone all over the 7 phones😊,5
Great product,"Camera quality is good Battery 🔋 is goodScreen quality is be good much be betterSound is quite good , much be betterPerformance is goodValue of money 💰Rating:-Camera 📷 5/5Battery 🔋 5/5Screen quality 3.5/5Sound 4/5Performance 4/5(*The rating is given after heavy use)",5
Awesome,No words amazing battery camera and performanceI was Snapdragon user but i shifted to mediatek and now i am not regreting my decision awesome.Base variety is better than redmi note 10. Just go for it,5
Great product,Coming to the phone directly Superb phone.played free fire at ultra graphics for 2 hours continuos no lag.Battery 5000 mah.extended my whole with moderate usage.Not satisfied with the night camera.but it's average in day light.Samoled display is amazing with 60hz good combination.,5
