review_title,review_description,rating
Mind-blowing purchase,Good phone,5
Mind-blowing purchase,"Very nice mobile,Nice processorNice cameraVery good quality ram extension",5
Worth every penny,Very good,5
Brilliant,Superb...,5
Terrific purchase,Very good and super picture quality..,5
Classy product,Camera 4Bettery 5Display 4Performance 5All over good product in this price range 😃,5
Simply awesome,I like the smartphone so much ... The camera quality is as expected. And the look of this mobile.... Ohh my god.. it's beautiful... M in love wid this phone ..,5
Wonderful,Awesome and handsome....,5
Fabulous!,Very nice phone at this price pointProcessor is awesome Camera is average Battery is good FHD +Display is very good but not amoled,5
Best in the market!,Back camera quality is very good 🙂. satisfied with this phone 🖐️💜,5
Classy product,All things about realme 8i is at the top. But you have to be patient regard it's charging.. it take _> 2 hrs till it's full charge. Camera is osm🥳 loved 💕 it,5
Perfect product!,Mind blowing smartphone this price range..thank you..flipcart for fast delivery.,5
Mind-blowing purchase,"The smartphone comes with a big display of 6.6 inches with an IPS LCD capacitive touchscreen. The resolution is 1080 x 2412 pixels and the screen PPI is 400. The operating system of the device is Android 11 + Realme UI 2.0. The smartphone is powered by a Mediatek Helio G96 Octa-core processor and the GPU is Mali-G57 MC2. The internal storage is 128 GB with 4 GB RAM. Realme 8i consists of a triple-camera 50 MP (wide) + 2 MP (macro) + 2 MP (depth). On the front, there is a single 16 MP (wide) c...",5
Super!,Nice product in this segment,5
Must buy!,Good performance and  best display,5
Terrific,"Phone is very good according to the price, its camera quality is Well  good picture is just like iPhone.First you buy it then trust it. Trust in my experience after purchase this phone. The phone is in affordable price. Best battery backup. I have received this phone today. Selfie camera is also good. Overall performance is excellent . Trust me you won't regret this phone.",5
Must buy!,"Superb phone, I like it. It is very smooth to use.",5
Perfect product!,Realme 8i is powered by an octa-core MediaTek Helio G96 processor good for gaming at medium settings. Good battery life around 5000 mAh but not enough for a day while using on 120hz refresh rate. 120hz feels good but need little more optimization.Camera is like 3/5. Overall phone is about 4/5.,5
Fabulous!,According to the price It will not disappoint you. Battery is good uh can easily use upto whole day and still be left with some battery. And performance is also good for normal users although i am not a gaming user but i installed Asphalt 9 once and it was a smooth experience no lag no nothing.. Overall it is good budget friendly phone,5
Best in the market!,Nice phone 📱 back camera es so nice zoom clean zooming pic sellfie camera nice thank you flipkartI I'm today happy I play free 🔥🔥🔥🔥,5
Highly recommended,So happy to buy this phone during Big billion days. What a value for money this beast is. 1) Helio G96 is best choice in this price range. You can easily play steady 60fps BGMI with GFX tools.2) The touch response is also excellent considering its price. 3) The phone runs buttery smooth due to its 120Hz refresh rate.4) The camera is decent in this price range.5) Widewine L1 is also provided. 6) Didn't order the phone for its looks but was happy once I felt it in my hands. Comes with a p...,5
