review_title,review_description,rating
Terrific purchase,"This phone is best from Realme. The phone is absolutely mind blowing. No other phone in this price range can give competition to Realme X7pro in performance(Dimensity 1000+ chipset) , charging(65W superdart fast charging) , Display(120Hz refresh rate and 240Hz touch sampling rate) its buttery smooth, camera(Sony IMX686 sensor). Its an All rounder phone.",5
Super!,"Fantastic mobile, I  am very liked in this mobile are super fast charging, performance, and smooth display and back camera. Overall super mobile.",5
Worth every penny,Amazing product camera performance too much great than exception personally i like this mobile its value for money and fast charging is like super fast.,5
Excellent,Nice phone I would recommend it over 1+ Nord Pros1)nice camera2)world class display3)fast biometrics4)fast charging5) awesome speakersCons1)battery could have been 5000mah(fast charging doesn't make us feel that)2)could have been a bit more lighterOverall it's a brilliant mobile of this price range I would recommend all of you to buy this !I would give it a 8.7/10,5
Wonderful,Love this best performance in this range camera is decent battery life is good and display is also good,5
Highly recommended,"Got it on first saleSuper phoneCrisp display with smooth scrollingVery fast as rocketSound department coolMeditek 1000+ awesomeThose who were saying that battery is not good I think they were just fooling people's, super duper battery backupSuper charging 30 minsFantasy colour mind blowingGiving tough competition to one plus 8tOne plus 7t beaterGo for it without a single doubt",5
Perfect product!,Good quality product Nice camera super AMOLED display 120 refresh rate ke saat with super dart 65 waat,5
Excellent,Amazing,5
Mind-blowing purchase,It is excellent phone by realme ..... I am impressed ... I gift it to my father and he loved it,5
Mind-blowing purchase,"Good Product Delivered1.AMOLED Display is awesome2.Camera with Sony Sensor gd quality images.3.Battry 65w Fast charge,35min Full charge bt performance is avarage.4.Dimensity 1000+ avg processor not performing as Flag ship level processor5. Android 10 out of the Box..need to improve sum lacuna in further updates Android 12 U.I 2.0 ..",5
Best in the market!,Awesome pic this mobile and all rounder mobile I love this realme x7pro mobile,5
Super!,"Best mobile I have ever buy.😌All the features of the phone are next level u will actually feel this flagship,,,🔥 Super battery , super performance, super fast 😍 so smooth ..Just buy it and experience the real realme,🔥🔥❤️",5
Fabulous!,Back camera is good i give ⭐⭐⭐⭐⭐front camera is average ⭐⭐⭐⭐Otherwise phone is good super smooth display quick charging everything is fine and audio quality is also amazing.And the haptic feedback also amazing I will compare with samsung s10,5
Terrific purchase,"I'm truly amazed by the service provided by Flipkart. It is the first time that product reached my Home in a day. Phone is nice. Looks Good. Display is Fabulous. Battery gets low for me as I use it on 120hz only. But my Main suggestion to you is, go for Fantasy color please. It looks fabulous in real Life.",5
Terrific purchase,Amazing Mobile super exilent,5
Simply awesome,"Mobile is really good... Highly recommended for buy this phone... Fantasy colour is awesome but I don't like the big branding""Dare to leap""... Gaming performance is very good and no heating issue... Awesome camera and the AI filter are really good... And the main advantage is the super amoled display with 120hz and the 35min full charge... Almost 35mins to 39mins required for full charge... Go for it...",5
Simply awesome,The product is really superb in its price catagory. Screen resolution is really good. The sound out out from dual speaker could have been better. Camera performance in low light is awesome. I have not checked with gaming performance. But day to day usage is good. I liked the fast charging mostly. It's charges 100% by the time you take bath.,5
Awesome,"Awesome Phone I like most of the features like light weight , smoothness , speed very awesome I love Realme Thanks to Realme team for making our day to day life easier.......😘😘😊😊",5
Best in the market!,It's amazing for me... Camera quality is good and looks premium  and I'm happy to purchase at the 1st sale,5
Wonderful,"My family is part of realme family from the first mobile realme 1 and thay always give satisfactory result,so thank you realme and thank you x7 pro for give this type of offer to purchase such great product",5
Awesome,"Battery charging speed is amazing almost 3% per minute, But Only 4.5 GB free RAM available without installing any new app, notification and ringtone volume control is common. Overall this phone is a good choice.",5
Highly recommended,"Best smartphone I have ever used.Saying it overpriced is not fair because some features are not mentioned which are just awesome (specially the tactile engine that produces 3D vibration). Camera quality is great, no doubt.Don't get confused, if your budget is under 30k then go for it and if you have credit card then it's the best you can have.",5
Worth every penny,"I'm writing this review after 2 month's of use. I'll get straight to the point with the battery. The other features are truly upto the mark. One thing about camera, it's not the best one at this price. But that doesn't mean it's bad. It's great but there are phones in the market at this price with better camera quality. Check the images for battery backup.",5
Excellent,Everything Is Good But For Battery Performance In This Prize Range You Go With Other Opt. But The +Point Is 36min Full Charge.I Love Night Feature.,5
Highly recommended,"This phone is all I wanted within a budget of 30k. Really fast and smooth and charges to 100% within 40-42 minutes max.The inhand feel of the phone is really good. You actually feel like you are holding a premium device.Games run smoothly, BGMI gives option of smooth+ extreme graphics and ultra framerate with higher graphics settings. CODM runs at high graphics settings at 60fps too.Phone has not heated up so far for me even when gaming.The only concern I have so far is that battery dra...",5
Brilliant,"Camera quality should have been better don't know inspite of Sony sensor camera quality is not good... May be better software optimization will help. Battery lasting is one day full use...  Display is wonderful, crisp. Processor performance is good no lag. Charging is insanely fast. Fantasy colour is wonderful but big branding Dare to leap writing in the back is annoying. Will update later.",5
Simply awesome,"It's indeed a very beautiful device in this price range. That super Amoled display coupled with 120Hz refresh rate makes it the best in class. Stereo speakers are very load & good in quality. Battery is not poor but yes due to that screen it consumes more, but it can still last throughout a day. But nothing to worry as the 65watt charger will make you say Wow! Camera I will say, its good but not the best in this range, and can still provide you good images. Though lots of camera features ar...",5
Terrific,"Best of best after complete one day use, pubg at HDR-High is very smooth and fast charging compensates the fast draining battery.240Hz touch sampling is very smooth while accessing any apps or scrolling through them. Atleast 3+ years usable phone.",5
Great product,"Very impressive I was very confused before buying it but trust me I am completely satisfied.. with realme X7 pro, camera is best battery backup very good and charging you won't even believe me it is faster than ever I don't know what to say about fast charging it is super duper fast charging phone.. Samoled display is awesome with 120hz it's like going on a flow, everything is super cool in this price point you can't expect more.. juste go for it now...",5
Highly recommended,Great mobile.....But once ordered please Go to phone management app and test the whole phone because in some devices some sensors not working....but the whole phone is awesome after the replacement and hope it will get more more amazing after the realmeui2.0 update after April...,5
Super!,"The night mode in the camera is not so great, the device is fast and is very good for basic usage, If you want more customisation, choose a different brand all together, the wide angle camera is great. The vibration of the phone is just like a basic phone as well.The selfie is not that great either",5
Must buy!,"Excellent build quality & design, awesome camera set up besides 2-2 MP cameras, mediateck helio dimensity 1000+ nice processor, 4500 mha good battery & 65 watt super dart charger , 120 Hz refresh rate, 240 touch sampling rate, overall budget flagship smartphone in this price segment. Feel happy with my mystic black realme x7 pro.",5
Simply awesome,"Worth it. Best budget premium very sleek and lightweight, great camera, superfast charging in just 30 mins and one and a half day long battery for optimal usage and 5g ready as well now that's a premium flagship. 👍",5
Terrific,"Battery drain pretty fast, like in 5~6 hours of continuous use. Charger is not giving me 65 watt fast charging. It took 55 mins from 0 to 100% . I'm really upset from this. Display and performance is good to be noted.EDIT ---- After update, charging has improved. It's working fine.",5
Mind-blowing purchase,Super mobile Selfie camera is good Back camera is medium Battery life is longSound quality is great 👍Display is not so goodWorth for money,5
Simply awesome,"every thing is good but battery is not stable, full charge happens very fast but drain of battery is also very fast.Realme as a popular brand who has made space very fast in customers heart, must be think about the battery.and battery must be  6000 instead of 4500. its has also heating prob. during charge. network is excellent. speed is also superb.",5
Worth every penny,Excellent phone but a bit overpriced .If the price could have been reduced it will definitely be VFM.PROS1) Excellent display with 120hz refreshing rate2) AMOLED display enhances the viewing experience3) Camera is awesome4)No performance lag even when while multiprocessing apps5) I love the fingerprint sensor especially indisplay 6) Face unlock is very fast and preciseCONS1) Battery backup is slightly low but it is manageableI will update after playing games,5
Fabulous!,Great phone super smooth and realme ui also good,5
Simply awesome,Good experience and good phone very very fast and cute good camera experience and good battery life and super gaming process,5
Simply awesome,Super display super battery life 😍 performance is smooth I love it 🤩🤩🤩,5
Great product,Don't listen to anyone this mobile is best in this segment as compared to oneplus Nord and other mobiles range of vivo and oppo or mi flagship of dimensity 1000. Is better than snapdragon865 so no doubt as well as better output of sound because dual speaker,5
Terrific purchase,"A good mobile with decent cameras, very good performance, awesome 120 hz sAmoled display, a very good haptic feedback, fantastic 65W charger. Though the realme UI is good there is still room for improvement. One draw back is that I still haven't received android 11 update. Quite satisfied with this handset.",5
Mind-blowing purchase,"My first phone is also realme and now the second one is also realme x7pro 5g and this is Amazing smartphone with camera , battery, charger, dual or sterio speakers, screen , looking also Awesome . And thank you flipkart .",5
Mind-blowing purchase,"Amoled screen is very fluid and colours are very vibrant.The dimensity 1000 processor performs as expected without any lag. Camera's are okayish. The two 2 MP cameras can be considered dummy. Talking about the 64 MP and 8 MP cameras, they perform decent.Battery backup is also very good but the charging is insane. 65W charging is what makes things so easy. Due to the support of Carrier aggregation, the network speeds were quite good.The speaker output is also very good. Overall a good pac...",5
